prompt,data_type,head,label,avg_window_entropy,min_window_entropy,max_window_entropy
dusk_in_sandi,dur,3,chick,4.0113752125474225,3.878761504579184,4.045255311109002
dusk_in_sandi,dur,4,chick,4.545158515474358,4.475313800438969,4.750005583251662
dusk_in_sandi,dur,5,chick,4.703798100157237,4.588824790768649,4.733638433821977
dusk_in_sandi,dur,6,chick,4.297360289506207,4.189522919580018,4.563854477272887
dusk_in_sandi,dur,7,chick,4.640407922029257,4.616569754909342,4.760717912659059
dusk_in_sandi,dur,8,chick,4.5592522221795635,4.537035193722058,4.710863396778735
dusk_in_sandi,dur,9,chick,4.257210684458142,4.097954532961468,4.465925401926081
dusk_in_sandi,dur,10,chick,4.5061696333321155,2.333923109622919,4.733023144366014
dusk_in_sandi,dur,11,chick,4.414344630543327,4.390505878959563,4.4460240194544305
dusk_in_sandi,dur,12,chick,4.715704248533177,4.695560666226861,4.728677261362476
dusk_in_sandi,dur,13,chick,4.635091473579643,4.54076555471071,4.660473379675847
dusk_in_sandi,dur,14,chick,4.653240289052897,4.469426506098338,4.679954635975835
dusk_in_sandi,dur,15,chick,4.519741755570616,4.472078614151671,4.709369400396848
dusk_in_sandi,time,0,chick,4.380080940282128,4.321827507021866,4.510110533561649
dusk_in_sandi,time,1,chick,4.571340776564799,4.506389593868719,4.632309439638741
dusk_in_sandi,time,2,chick,4.737882411947683,4.726913023134854,4.763694515863002
dusk_in_sandi,time,3,chick,4.589381789454538,4.39372624774338,4.683963640679364
dusk_in_sandi,time,4,chick,4.600749424555521,4.507261589451963,4.738448555085514
dusk_in_sandi,time,5,chick,4.699667766445711,4.6049262700210045,4.7288801202732715
dusk_in_sandi,time,6,chick,4.501005196059199,4.412469385902911,4.764258864463325
dusk_in_sandi,time,7,chick,4.557468496610232,4.530964805176709,4.6496727045490855
dusk_in_sandi,time,8,chick,4.668012492815648,4.547454372514217,4.730603713175124
dusk_in_sandi,time,9,chick,4.386744265349604,2.3302168269131487,4.587826684987724
dusk_in_sandi,time,10,chick,4.356472272890834,4.194091922135008,4.724120277970797
dusk_in_sandi,time,11,chick,4.5712476647615015,4.552076825928976,4.638749599760199
dusk_in_sandi,time,12,chick,4.6627316049164955,4.579340723949781,4.71019418672265
dusk_in_sandi,time,13,chick,4.613375193335409,4.507933831364292,4.711625615554777
dusk_in_sandi,time,14,chick,4.607187320347288,4.243134985589925,4.691389862152256
dusk_in_sandi,time,15,chick,4.531399509695123,4.35924371132472,4.726506999549667
how_deep_is_the_ocean,pitch,0,chick,4.666434750084375,4.580643109997903,4.7190454674277635
how_deep_is_the_ocean,pitch,1,chick,4.335108972080546,4.293179397040314,4.440250610397294
how_deep_is_the_ocean,pitch,2,chick,4.769373032430099,4.763605417194388,4.773326127477878
how_deep_is_the_ocean,pitch,3,chick,4.089421891909053,4.059287659307735,4.130229488930012
how_deep_is_the_ocean,pitch,4,chick,4.141841509877221,3.6515688905878765,4.317733143230293
how_deep_is_the_ocean,pitch,5,chick,4.512452940439062,4.164637439044384,4.594995684663529
how_deep_is_the_ocean,pitch,6,chick,4.341112462786197,4.25280917468436,4.44572778795151
how_deep_is_the_ocean,pitch,7,chick,4.698900006116536,4.6636551648872135,4.710435695157227
how_deep_is_the_ocean,pitch,8,chick,4.5079000304823085,4.280021364450238,4.561756733646719
